legend: 
{'-': 'missing document',
 '0.5': 'both interesting and uninteresting',
 '0.9': 'neither',
 '1': 'interesting'}


    T   B05   C02   C03   C04   C09   D04   D06   E10   F09   G02   G10   G11 
    1    -      1     1    -      1     1     1    -     -      1    -     -  
    2     1     1     1     1     1     1     1     1     1     1     1     1 
    3     1     1     1     1     1     1     1     1     1     1     1     1 
    4     1     1     1     1     1     1     1     1     1     1     1     1 
    5     1     1     1     1     1     1     1     1     1     1     1     1 
    6     1     1     1     1     1     1     1     1     1     1     1     1 
    7     1     1     1     1     1     1     1     1     1     1     1     1 
    8   0.5     0   0.5     0   0.5     1     1     0   0.5   0.5     0     0 

    9   0.5     0   0.5     0   0.5     1     1     0   0.5   0.5     0     0 
   10   0.5     0   0.5     0   0.5     1     1     0   0.5   0.5     0     0 
   11   0.5     0   0.5     0   0.5     1     1     0   0.5   0.5     0     0 
   12   0.5     0   0.5     0   0.5     1     1     0   0.5   0.5     0     0 
   13   0.5     0   0.5     0   0.5     1     1     0   0.5   0.5     0     0 
   14   0.5     0   0.5     0   0.5     1     1     0   0.5   0.5     0     0 
   15   0.5     0   0.5     0   0.5     1     1     0   0.5   0.5     0     0 
   16     0   0.5     0     1   0.5     1     0     0     0     0   0.5     0 

   17     0   0.5     0     1   0.5     1     0     0     0     0   0.5     0 
   18     0   0.5     0     1   0.5     1     0     0     0     0   0.5     0 
   19     0   0.5     0     1   0.5     1     0     0     0     0   0.5     0 
   20     0   0.5     0     1   0.5     1     0     0     0     0   0.5     0 
   21     0   0.5     0     1   0.5     1     0     0     0     0   0.5     0 
   22     0   0.5     0     1   0.5     1     0     0     0     0   0.5     0 
   23     0   0.5     0     1   0.5     1     0     0     0     0   0.5     0 
   24   0.9     1     1   0.5     0   0.5     0     0     0     0   0.5   0.5 

   25   0.9     1     1   0.5     0   0.5     0     0     0     0   0.5   0.5 
   26   0.9     1     1   0.5     0   0.5     0     0     0     0   0.5   0.5 
   27   0.9     1     1   0.5     0   0.5     0     0     0     0   0.5   0.5 
   28   0.9     1     1   0.5     0   0.5     0     0     0     0   0.5   0.5 
   29   0.9     1     1   0.5     0   0.5     0     0     0     0   0.5   0.5 
   30   0.9     1     1   0.5     0   0.5     0     0     0     0   0.5   0.5 
   31   0.9     1     1   0.5     0   0.5     0     0     0     0   0.5   0.5 
   32     1     1     1   0.5   0.5   0.5   0.5     0   0.5   0.5     0   0.9 

   33     1     1     1   0.5   0.5   0.5   0.5     0   0.5   0.5     0   0.9 
   34     1     1     1   0.5   0.5   0.5   0.5     0   0.5   0.5     0   0.9 
   35     1     1     1   0.5   0.5   0.5   0.5     0   0.5   0.5     0   0.9 
   36     1     1     1   0.5   0.5   0.5   0.5     0   0.5   0.5     0   0.9 
